id;naam
1;Ik heb ervoor gezorgd dat mijn woonsituatie is verbeterd
2;Ik heb hulp gevraagd om mijn woonsituatie te verbeteren
3;Ik heb overzicht over mijn financiële situatie en het lukt mij om rond te komen
4;Ik weet wat mijn mogelijkheden zijn ondanks mijn verslavingsproblematiek
5;Ik ben onder behandeling voor mijn verslavingsproblematiek
6;Ik heb hulp gevraagd voor mijn verslavingsproblematiek
7;Ik heb hulp gevraagd voor mijn psychische klachten
8;Ik ben onder behandeling voor mijn lichamelijke klachten
9;Ik heb hulp gevraagd voor mijn lichamelijke klachten
10;Ik heb een beoordeling arbeidsvermogen aangevraagd bij UWV
11;Ik heb hulp bij het regelen van mijn financiën
12;Ik heb geen financiële belemmeringen om aan het werk te gaan
13;Ik weet hoe ik mijn zorgtaken kan combineren met een baan opleiding of andere activiteit
14;Ik ben onder behandeling voor mijn psychische klachten
15;Uitkering door voorliggende voorziening
16;Ik heb mijn penitentiair programma succesvol afgerond (NIET GEBRUIKEN)
17;Ik ben gestart met een zinvolle dagbesteding
18;Ik ben gestart met vrijwilligerswerk
19;Ik beheers de Nederlandse taal voldoende om aan het werk te gaan een opleiding te volgen of te ondernemen
20;Ik heb een werkritme
21;Ik weet wat er van mij verwacht wordt als werknemer
22;Ik ben gestart met een opleiding
23;Ik weet welke opleiding past bij mijn mogelijkheden
24;Ik volg een opleiding naast mijn partime betaalde baan
25;Ik ben gestart met een BBL opleiding (werken en leren)
26;Ik weet welke opleiding past bij mijn mogelijkheden
27;Ik heb urenuitbreiding gekregen
28;Ik ben gestart met werken en behoud mijn werk succesvol
29;Ik heb werk gevonden waarmee ik uit de bijstand ga
30;Ik heb mijn sollicitatievaardigheden ontwikkeld
31;Ik weet welk werk bij mij past
32;Ik heb een netwerk waarmee ik sociale contacten heb
33;Ik krijg betaald voor mijn werkzaamheden als mantelzorger (vanuit PGB)
34;Ik weet of ik (vanuit PGB) betaald kan krijgen voor mijn werkzaamheden als mantelzorger
35;Ik kan mijn zorgtaken (mantelzorg) overdragen aan anderen
36;Ik heb kinderopvang voor mijn kinderen
37;Ik heb voldoende digitale vaardigheden om een stap te zetten richting de arbeidsmarkt
38;Ik kan omgaan met computer smartphone en tablet kan zelfstandig mailen en zoeken op internet
39;Ik beheers de Nederlandse taal op het voor mij hoogst haalbare niveau
40;Ik beheers de Nederlandse taal voldoende om een volgende stap te kunnen zetten
41;Ik weet wat mijn Nederlandse taalniveau is
42;Ik ben gestart met de hulp voor mijn schulden
43;Ik heb mijn penitentiair programma succesvol afgerond
44;Ik weet wat mijn mogelijkheden zijn met mijn justitiele verleden
45;Ik heb een beoordeling arbeidsvermogen aangevraagd bij het UWV
46;Ik weet wat mijn mogelijkheden zijn ondanks de psychische klachten
47;Ik weet wat mijn mogelijkheden zijn ondanks mijn lichamelijke klachten
