id;code;naam;actiehouder;afhandeltermijn;actief
1;21428;woot bleep;cupboard;24264;true
2;6101;in polarize hmph;fondly brisk;860;true
3;4317;unlike muck;off bah stravaig;11911;true
4;2417;instead or;thaw off;22749;false
5;2556;incidentally jaunty;um subordinate poorly;22276;true
6;15715;detailed nor;hmph;15988;true
7;13675;butter rainmaker;thoroughly kiddingly;1782;true
8;19552;following pace;veneer;5707;false
9;27583;nor;dead throughout;11581;true
10;31964;yippee whose occasional;boohoo sadly;17585;true
