id;code;naam;omschrijving;actief
1;13736;badly;smile boohoo;false
2;5841;uh-huh an notwithstanding;freely unless knobby;false
3;24486;handcuff;fratricide as even;false
4;18244;overconfidently snow dearly;how awkwardly;false
5;16734;yowza although now;apud;false
6;8221;dreamily whoever;but than grade;false
7;24643;supposing winery triangular;pussyfoot mining;true
8;1133;mostly gadzooks curiously;minus mmm sophisticated;false
9;5179;infantilise;incandescence a before;true
10;22738;toady;meaningfully leaf;true
